c:\users\elfim\server5342\ospanel\modules\database\MariaDB-10.4\bin\mysqld.exe, Version: 10.4.26-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: (null)
Time		    Id Command	Argument
230622  1:28:13	     8 Connect	root@localhost as anonymous on mydatabase
230622  1:28:16	     9 Connect	root@localhost as anonymous on mydatabase
230622  1:42:05	    10 Connect	root@localhost as anonymous on 
		    10 Query	SELECT @@version, @@version_comment
		    10 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    10 Query	SET lc_messages = 'ru_RU'
		    11 Connect	root@localhost as anonymous on 
		    11 Quit	
		    10 Quit	
		    12 Connect	root@localhost as anonymous on 
		    12 Query	SELECT @@version, @@version_comment
		    12 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    12 Query	SET lc_messages = 'ru_RU'
		    13 Connect	root@localhost as anonymous on 
		    13 Query	SHOW TABLES FROM `phpmyadmin`
		    12 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    13 Query	SHOW TABLES FROM `phpmyadmin`
		    12 Query	SELECT 1 FROM mysql.user LIMIT 1
		    12 Init DB	mysql
		    12 Query	SELECT CURRENT_USER()
		    12 Query	SHOW GRANTS
		    12 Query	SELECT `CHARACTER_SET_NAME` AS `Charset`, `DEFAULT_COLLATE_NAME` AS `Default collation`, `DESCRIPTION` AS `Description`, `MAXLEN` AS `Maxlen` FROM `information_schema`.`CHARACTER_SETS`
		    12 Query	SELECT `COLLATION_NAME` AS `Collation`, `CHARACTER_SET_NAME` AS `Charset`, `ID` AS `Id`, `IS_DEFAULT` AS `Default`, `IS_COMPILED` AS `Compiled`, `SORTLEN` AS `Sortlen` FROM `information_schema`.`COLLATIONS`
		    12 Query	SHOW SESSION VARIABLES LIKE 'character_set_server'
		    12 Query	SELECT USER()
		    12 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    12 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    12 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    12 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    12 Query	SHOW MASTER LOGS
		    13 Quit	
		    12 Quit	
		    14 Connect	root@localhost as anonymous on 
		    14 Query	SELECT @@version, @@version_comment
		    14 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    14 Query	SET lc_messages = 'ru_RU'
		    15 Connect	root@localhost as anonymous on 
		    15 Query	SHOW TABLES FROM `phpmyadmin`
